HstNummer;Name ohne Ort;Ort;Globale ID;WGS84 X;WGS84 Y
2398;Rathaus;Taufkirchen (b München);de:09184:2398;48,0462101;11,6151896
2399;Höhenkirchner Straße;Hofolding;de:09184:2399;47,9850076;11,700817
2400;Kriegerdenkmal;Taufkirchen (b München);de:09184:2400;48,0437117;11,6186122
2401;Edelweißstraße;Bergham (Taufkirchen);de:09184:2401;48,0436637;11,6226546
2402;Rosenstraße;Bergham (Taufkirchen);de:09184:2402;48,0433754;11,6261131
2403;Hohenbrunner Weg;Bergham (Taufkirchen);de:09184:2403;48,0420541;11,6229421
2404;Schule;Sauerlach;de:09184:2404;47,9784714;11,6520206
2405;Zacherlweg;Winning;de:09184:2405;48,0492188;11,6248914
2406;Otterloh;Otterloh;de:09184:2406;47,9960576;11,6601144
2407;Aurikelstraße;Winning;de:09184:2407;48,0462101;11,6290866
2408;Münchener Str.;Lanzenhaar;de:09184:2408;47,9960937;11,6418337
2409;Riegerweg/Altersheim;Winning;de:09184:2409;48,0481078;11,628296
2410;Waldsiedlung;Sauerlach;de:09184:2410;47,9901421;11,6445017
2411;Martinstraße;Sauerlach;de:09184:2411;47,9707135;11,6537273
2412;Grafing (b.Sauerlach);Grafing (Sauerlach);de:09184:2412;47,9526554;11,6447083
2413;Haarer Str.;Lanzenhaar;de:09184:2413;47,9976626;11,6437111
2414;Michelistraße;Lochhofen;de:09184:2414;47,9458444;11,6441244
2415;Finkenweg;Arget (Bayern);de:09184:2415;47,9421437;11,6452562
2416;Oberhamer Straße;Arget (Bayern);de:09184:2416;47,9400916;11,6452203
2417;Hainbuchenstraße;Taufkirchen (b München);de:09184:2417;48,049537;11,5988672
2418;Holzkirchner Straße;Arget (Bayern);de:09184:2418;47,9376182;11,648023
2419;Kleefeldstraße;Lochhofen;de:09184:2419;47,949623;11,6634381
2420;Lochhofen, Abzw.;Lochhofen;de:09184:2420;47,9475833;11,6504754
2421;Bavariastraße;Lochhofen;de:09184:2421;47,9477277;11,6452473
2422;Forststraße;Sauerlach;de:09184:2422;47,9926972;11,6428937
2423;Keltenstraße;Sauerlach;de:09184:2423;47,9703346;11,6420403
2424;Kirche;Sauerlach;de:09184:2424;47,9718803;11,6499724
2425;Neubauerweg;Grafing (Sauerlach);de:09184:2425;47,9555913;11,6521733
2426;Kreuzpullach, Abzw.;Kreuzpullach;de:09184:2426;47,9898656;11,5742983
2427;Kleineichenhausen;Kleineichenhausen;de:09184:2427;47,9541414;11,5966035
2428;Oberbiberg;Oberbiberg;de:09184:2428;47,9798605;11,5712081
2429;Großeichenhausen;Großeichenhausen;de:09184:2429;47,9484798;11,5977354
2430;Gerblinghausen;Gerblinghausen;de:09184:2430;47,9709902;11,5676148
2431;Andreasstraße;Sauerlach;de:09184:2431;47,9696069;11,6519667
2432;Gumpertshausen;Gumpertshausen;de:09184:2432;47,9644703;11,5823203
2433;Eichenhausener Str;Altkirchen (Bayern);de:09184:2433;47,9602235;11,5943487
2434;Altkirchen;Altkirchen (Bayern);de:09184:2434;47,9603679;11,5916538
2435;Schule am Sportpark;Unterhaching;de:09184:2435;48,0725976;11,6151267
2436;Postweg;Unterhaching;de:09184:2436;48,0583998;11,6190254
2437;Willy-Messerschmitt-Str.;Taufkirchen (b München);de:09184:2437;48,0463002;11,6586591
2438;Bahnhofstraße;Taufkirchen (b München);de:09184:2438;48,0493629;11,616573
2439;Tegernseer Landstraße;Taufkirchen (b München);de:09184:2439;48,0533922;11,6202561
2440;Tölzer Straße;Potzham;de:09184:2440;48,0355672;11,6139769
2441;Karwendelstraße;Potzham;de:09184:2441;48,031909;11,6182619
2442;Am Gries;Furth (b München);de:09184:2442;48,0300948;11,6023527
2443;Lanzenhaarer Straße;Oberhaching;de:09184:2443;48,0259195;11,5982564
2444;Kybergstraße;Oberhaching;de:09184:2444;48,025547;11,5946721
2445;Ikea;Taufkirchen (b München);de:09184:2445;48,0408709;11,6565211
2446;Tisinstraße;Oberhaching;de:09184:2446;48,0231017;11,5934504
2447;Platanenstraße;Taufkirchen (b München);de:09184:2447;48,054419;11,6012029
2448;Hubertusplatz;Deisenhofen (b München);de:09184:2448;48,019058;11,5914112
2449;St.-Rita-Weg;Oberhaching;de:09184:2449;48,0238347;11,5846649
2450;Zugspitzstr.;Sauerlach;de:09184:2450;47,9689032;11,6551647
